Introduction	引言
Bootstrap tests can also be conducted with other statistics	引导检验也可以与其他统计数据一起进行
In the smooth function model the t-test (with correct standard errors) has the following performance	在平滑函数模型中，t 检验（具有正确的标准误差）具有以下性能
This shows that the bootstrap test achieves a refinement relative to the asymptotic test	这表明自举检验相对于渐近检验实现了细化
The reasoning is as follows	理由如下
Wald-Type Bootstrap Tests	Wald 型引导检验
The asymptotic performance of the Wald test mimics that of the t-test	Wald 检验的渐近性能模仿 t 检验的渐近性能
and thus achieves a refinement relative to the asymptotic Wald test	从而实现了相对于渐近 Wald 检验的改进
The test will not achieve an asymptotic refinement but provides a simple method to test hypotheses when covariance matrix estimates are not available	该检验不会实现渐近细化，但提供了一种简单的方法来在协方差矩阵估计不可用时检验假设
Criterion-Based Bootstrap Tests	基于标准的引导检验
A criterion-based estimator takes the form	基于标准的估计量采用以下形式
A bootstrap test uses the bootstrap algorithm to calculate the critical value	引导检验使用引导算法来计算临界值
Parametric Bootstrap	参数引导程序
Throughout this chapter we have described the most popular form of the bootstrap known as the nonparametric bootstrap	在本章中，我们描述了最流行的引导程序形式，称为非参数引导程序
This is appropriate when there is a full parametric model for the distribution as in likelihood estimation	当存在完整的分布参数模型（如似然估计）时，这是合适的
Everything which has been discussed in the chapter can be applied using this bootstrap algorithm	本章中讨论的所有内容都可以使用此引导算法来应用
The primary advantage of the parametric bootstrap (relative to the nonparametric bootstrap) is that it will be more accurate when the parametric model is correct	参数引导程序（相对于非参数引导程序）的主要优点是，当参数模型正确时，它会更准确
The primary disadvantage of the parametric bootstrap is that it can be inaccurate when the parametric model is incorrect	参数引导程序的主要缺点是当参数模型不正确时它可能不准确
How Many Bootstrap Replications?	有多少引导复制？
How many bootstrap replications should be used? There is no universally correct answer as there is a trade-off between accuracy and computation cost	应使用多少个引导复制？没有普遍正确的答案，因为准确性和计算成本之间需要权衡
Improved accuracy can be obtained but only at a higher computational cost	可以获得更高的准确性，但需要更高的计算成本
In most empirical research, most calculations are quick and investigatory, not requiring full accuracy	在大多数实证研究中，大多数计算都是快速且调查性的，不需要完全准确
Setting the Bootstrap Seed	设置引导种子
Computers do not generate true random numbers but rather pseudo-random numbers generated by a deterministic algorithm	计算机不会生成真正的随机数，而是由确定性算法生成的伪随机数
The algorithms generate sequences which are indistinguishable from random sequences so this is not a worry for bootstrap applications	该算法生成的序列与随机序列无法区分，因此引导应用程序不必担心这一点
The methods, however, necessarily require a starting value known as a "seed"	然而，这些方法必然需要称为“种子”的起始值
"do" file) twice sequentially without restarting the package, the seed is not reset so a different set of pseudo-random numbers will be generated and the results from the two runs will be different	如果你连续运行引导程序（例如“do”文件）两次而不重新启动程序包，则种子不会重置，因此将生成一组不同的伪随机数，并且两次运行的结果将不同
The R package has a different implementation	R 包有不同的实现
Therefore if you run a bootstrap program in R, exit, restart, and rerun, you will obtain a different set of random draws and therefore a different bootstrap result	因此，如果你在 R 中运行引导程序，退出，重新启动，然后重新运行，你将获得一组不同的随机抽取，从而获得不同的引导结果
Packages allow users to set their own seed. (In Stata, the command is set seed \#	包允许用户设置自己的种子
If this is the case, the results of a bootstrap calculation (standard error or test) will be identical across computer runs	如果是这种情况，引导计算的结果（标准误差或检验）在计算机运行中将是相同的
